census_tract_fips,population_total,population_under_18,pct_white,pct_black,pct_asian,pct_other,pct_hispanic,pct_white_nh,pct_black_nh,pct_asian_nh,pct_other_nh,median_income,median_income_2010_adj,pct_poverty,pct_poverty_under_18,pct_assisted_income,pct_no_hs,pct_hs,pct_bach,pct_higher_than_bach,pct_hs_dropout,pct_female_hh,pct_single_parent,pct_unemployed,pct_vacant_housing,pct_owner_occupied,median_rent,median_rent_2010_adj,median_home_value,median_home_value_2010_adj,area_m2
010550002,4549,1681,75,25,0,0,67,NA,NA,NA,NA,NA,NA,23,18,5,64,32,3,1,24,NA,NA,4,5,66,NA,NA,NA,NA,10307360
010550003,5153,2103,2,98,0,0,0,NA,NA,NA,NA,NA,NA,38,42,10,72,23,2,3,20,NA,NA,4,5,53,NA,NA,NA,NA,2529993
010550004,4587,1511,99,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,7,1,32,55,9,4,8,NA,NA,2,3,90,NA,NA,NA,NA,13011165
010550005,3141,996,99,1,0,0,NA,NA,NA,NA,NA,NA,NA,17,19,4,67,29,3,1,29,NA,NA,4,6,80,NA,NA,NA,NA,6461961
010550006,3788,1176,97,3,0,0,0,NA,NA,NA,NA,NA,NA,16,13,5,66,32,2,0,20,NA,NA,4,5,66,NA,NA,NA,NA,9917712
010550007,1901,580,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,22,22,7,81,18,1,0,34,NA,NA,5,3,45,NA,NA,NA,NA,1372800
010550008,2590,704,76,23,0,0,NA,NA,NA,NA,NA,NA,NA,30,29,4,67,31,2,0,30,NA,NA,4,7,48,NA,NA,NA,NA,1863292
010550009,4623,1552,91,9,0,0,NA,NA,NA,NA,NA,NA,NA,21,18,8,76,23,1,0,32,NA,NA,4,5,66,NA,NA,NA,NA,7676955
010550010,2503,739,78,22,0,0,NA,NA,NA,NA,NA,NA,NA,17,21,5,51,43,4,2,8,NA,NA,4,6,46,NA,NA,NA,NA,1548823
010550011,3171,1130,99,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,6,2,12,56,22,10,11,NA,NA,2,2,92,NA,NA,NA,NA,5709038
010550012,3333,846,100,0,0,0,0,NA,NA,NA,NA,NA,NA,8,7,1,34,52,10,5,12,NA,NA,3,6,58,NA,NA,NA,NA,2781977
010550013,3406,910,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,13,1,46,50,3,2,20,NA,NA,4,5,69,NA,NA,NA,NA,5522294
010550014,1563,407,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,17,12,7,62,36,2,1,5,NA,NA,3,3,54,NA,NA,NA,NA,1467407
010550015,2171,629,99,1,0,0,NA,NA,NA,NA,NA,NA,NA,12,15,6,49,47,3,1,20,NA,NA,8,4,58,NA,NA,NA,NA,1046169
010550016,4647,1673,65,35,0,0,NA,NA,NA,NA,NA,NA,NA,15,16,4,51,42,5,2,17,NA,NA,2,5,77,NA,NA,NA,NA,5665522
010550017,2331,838,38,61,0,0,50,NA,NA,NA,NA,NA,NA,17,21,6,73,24,1,1,11,NA,NA,5,7,74,NA,NA,NA,NA,7746757
010550101,1957,647,74,26,0,0,NA,NA,NA,NA,NA,NA,NA,31,33,6,59,37,2,1,24,NA,NA,2,12,57,NA,NA,NA,NA,3573786
010550102,5433,1938,85,15,0,0,0,NA,NA,NA,NA,NA,NA,17,13,6,67,31,1,1,27,NA,NA,5,4,67,NA,NA,NA,NA,10886395
